Year,Winner
2025,Liverpool
2024,Manchester City
2023,Manchester City
2022,Manchester City
2021,Manchester City
2020,Liverpool
2019,Manchester City
2018,Manchester City
2017,Chelsea
2016,Leicester City
2015,Chelsea
2014,Manchester City
2013,Manchester United
2012,Manchester City
2011,Manchester United
2010,Chelsea
2009,Manchester United
2008,Manchester United
2007,Manchester United
2006,Chelsea
2005,Chelsea
2004,Arsenal
2003,Manchester United
2002,Arsenal
2001,Manchester United
2000,Manchester United
1999,Manchester United
1998,Arsenal
1997,Manchester United
1996,Manchester United
1995,Blackburn Rovers
1994,Manchester United
1993,Manchester United
1992,Leeds United
1991,Arsenal
1990,Liverpool
